,Entry_Datetime,ATM_Strike,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
96,2019-06-03 09:20:00,31300,3,31300_CE,229.85,316.25,2019-06-03 09:28:00,31300_PE,255.4,111.95,2019-06-03 14:30:00,57.04999999999998
97,2019-06-04 09:20:00,31700,2,31700_CE,161.65,177.85,2019-06-04 14:30:00,31700_PE,236.35,138.95,2019-06-04 14:30:00,81.20000000000002
98,2019-06-06 09:20:00,31500,0,31500_CE,124.35,0.6,2019-06-06 14:30:00,31500_PE,112.45,150.0,2019-06-06 10:01:00,86.2
99,2019-06-07 09:20:00,30900,6,30900_CE,252.0,337.0,2019-06-07 10:16:00,30900_PE,249.05,332.55,2019-06-07 09:26:00,-168.5
100,2019-06-10 09:20:00,31400,3,31400_CE,177.95,67.55,2019-06-10 14:30:00,31400_PE,237.0,324.2,2019-06-10 09:45:00,23.200000000000003
101,2019-06-11 09:20:00,31100,2,31100_CE,190.75,249.25,2019-06-11 12:58:00,31100_PE,222.4,80.45,2019-06-11 14:30:00,83.44999999999999
102,2019-06-12 09:20:00,31100,1,31100_CE,168.55,62.2,2019-06-12 14:30:00,31100_PE,134.9,176.75,2019-06-12 10:10:00,64.50000000000001
103,2019-06-13 09:20:00,30900,0,30900_CE,96.35,51.3,2019-06-13 14:30:00,30900_PE,80.85,114.55,2019-06-13 09:34:00,11.349999999999994
104,2019-06-14 09:20:00,31000,6,31000_CE,211.8,126.0,2019-06-14 14:30:00,31000_PE,275.55,368.35,2019-06-14 09:31:00,-7.0
105,2019-06-17 09:20:00,30500,3,30500_CE,202.1,143.55,2019-06-17 14:30:00,30500_PE,266.4,282.35,2019-06-17 14:30:00,42.59999999999994
106,2019-06-18 09:20:00,30400,2,30400_CE,173.5,228.0,2019-06-18 11:48:00,30400_PE,205.0,280.15,2019-06-18 09:33:00,-129.64999999999998
107,2019-06-19 09:20:00,30600,1,30600_CE,114.0,40.25,2019-06-19 14:30:00,30600_PE,169.1,220.1,2019-06-19 11:47:00,22.75
108,2019-06-20 09:20:00,30300,0,30300_CE,88.25,138.05,2019-06-20 09:44:00,30300_PE,107.55,1.75,2019-06-20 14:30:00,55.999999999999986
109,2019-06-21 09:20:00,30700,6,30700_CE,241.7,180.3,2019-06-21 14:30:00,30700_PE,290.9,306.15,2019-06-21 14:30:00,46.14999999999998
110,2019-06-24 09:20:00,30700,3,30700_CE,215.95,159.75,2019-06-24 14:30:00,30700_PE,226.9,246.6,2019-06-24 14:30:00,36.5
111,2019-06-25 09:20:00,30500,2,30500_CE,196.05,257.25,2019-06-25 12:14:00,30500_PE,190.15,52.35,2019-06-25 14:30:00,76.60000000000002
112,2019-06-26 09:20:00,30900,1,30900_CE,130.95,172.75,2019-06-26 09:39:00,30900_PE,175.05,53.75,2019-06-26 14:30:00,79.5
113,2019-06-27 09:20:00,31300,0,31300_CE,85.15,112.6,2019-06-27 10:17:00,31300_PE,94.65,143.35,2019-06-27 14:11:00,-76.14999999999998
114,2019-06-28 09:20:00,31400,6,31400_CE,222.95,164.15,2019-06-28 14:30:00,31400_PE,324.7,359.05,2019-06-28 14:30:00,24.44999999999996
115,2019-07-01 09:20:00,31400,3,31400_CE,185.35,227.0,2019-07-01 14:30:00,31400_PE,285.0,160.0,2019-07-01 14:30:00,83.35
116,2019-07-02 09:20:00,31500,2,31500_CE,135.9,90.0,2019-07-02 14:30:00,31500_PE,242.0,315.6,2019-07-02 10:01:00,-27.700000000000017
117,2019-07-04 09:20:00,31600,0,31600_CE,43.1,56.45,2019-07-04 09:26:00,31600_PE,153.3,116.55,2019-07-04 14:30:00,23.400000000000013
